Inference for Bugs model at "model_0.bug", fit using jags,
 3 chains, each with 2e+05 iterations (first 1e+05 discarded), n.thin = 100
 n.sims = 3000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%
L0_mean       58.233   1.903   54.356   57.042   58.215   59.489
L_hat[7,27]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,28]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,28]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,28]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,28]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,28]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,28]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,28]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,29]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,29]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,29]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,29]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,29]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,29]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,29]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,30]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,30]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,30]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,30]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,30]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,30]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,30]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,31]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,31]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,31]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,31]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,31]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,31]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,31]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,32]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,32]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,32]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,32]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,32]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,32]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,32]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,33]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,33]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,33]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,33]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,33]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,33]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,33]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,34]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,34]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,34]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,34]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,34]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,34]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,34]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,35]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,35]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,35]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,35]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,35]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,35]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,35]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,36]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,36]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,36]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,36]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,36]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,36]  122.640   1.584  119.460  121.588  122.661  123.698
L_hat[7,36]  135.316   2.033  131.227  133.979  135.305  136.749
L_hat[1,37]   58.233   1.903   54.356   57.042   58.215   59.489
L_hat[2,37]   70.942   1.471   67.950   70.005   70.901   71.939
L_hat[3,37]   83.554   1.179   81.252   82.779   83.548   84.350
L_hat[4,37]   96.532   1.089   94.414   95.800   96.529   97.253
L_hat[5,37]  109.408   1.239  106.977  108.594  109.412  110.219
L_hat[6,37]  122.640   1.584  119.460  121.588  122.661  123.698
